group_key,n,verdict,drop_on_med,drop_on_mean,drop_off_med,spec_med,spec_mean,spec_ci,spec_iqr,mask_med,pass_rate,locspec_rate,anti_rate,grade_change_rate,p_drop,p_spec_raw,p_spec_adj
BUSI:normal,100,FAITHFUL,0.4750290960073471,0.44628512032330037,0.08054551932339868,0.33231939747929573,0.31105225545664633,"[0.2531662558515867, 0.3844370538524041]","[0.08679318474605678, 0.43159928576399886]",0.3996629863977432,0.81,0.84,0.19,0.74,6.001541396361895e-16,5.518727177593664e-16,4.414981742074931e-15
BUSI:benign,100,WEAK/INCONCLUSIVE,0.006562020629644394,0.10900393705815077,0.0002585556358098984,0.0058394571145375575,0.09726267818361523,"[0.003869136174519857, 0.011957615613937378]","[0.001274988055229187, 0.045428161819775895]",0.22237082570791245,0.84,0.81,0.16,0.25,1.538441462397516e-11,1.3834353080419946e-09,5.533741232167978e-09
BUSI:malignant,100,WEAK/INCONCLUSIVE,0.0010354667901992798,0.02756316468119621,0.00043609055380026496,0.00029421038925647736,0.027013017497956752,"[4.783148566881815e-05, 0.000972028666486343]","[-8.023902773857117e-05, 0.0268099478756388]",0.29724033176898956,0.92,0.65,0.08,0.22,1.8684939085520097e-15,2.6095718254189062e-06,6.9588582011170835e-06
DR:grade0 (No DR),100,INERT,-0.00028207898139953613,-0.003640697002410889,-9.427467981974283e-05,-0.00011147061983744305,-0.003536108781894048,"[-0.000353076929847399, 0.00023532907168070482]","[-0.0011122326056162517, 0.0009134511152903239]",0.27988100051879883,0.47,0.44,0.53,0.02,0.7595502572558291,0.5695994811787546,0.6509708356328624
DR:grade1 (Mild NPDR),100,ANTI-FAITHFUL,-0.052399471402168274,-0.15688082732260228,-0.011848857005437214,-0.034318662558992706,-0.11269491656372944,"[-0.12054680101573467, -0.00727164496978124]","[-0.2487984908123811, -0.000909532109896342]",0.17736534029245377,0.06,0.22,0.94,0.42,0.9999999999999999,0.9999999995714407,0.9999999995714407
DR:grade2 (Moderate NPDR),100,WEAK/INCONCLUSIVE,-0.000844806432723999,0.10791731148958206,-0.0011374950408935547,-8.717179298400879e-06,0.10006922766566277,"[-0.0006897697846094767, 0.04299463828404744]","[-0.0017961710691452026, 0.21577294170856476]",0.2227144092321396,0.44,0.5,0.56,0.4,0.0030687370825723185,0.0003078848444996355,0.0004926157511994168
DR:grade3 (Severe NPDR),100,INERT,-0.0005336105823516846,-0.002177612781524658,-0.0011286834875742593,0.0006437798341115316,0.013771533655623598,"[0.00038945674896240234, 0.0009569674730300903]","[-2.4229288101196262e-05, 0.0015305454532305398]",0.16584178805351257,0.29,0.73,0.71,0.08,0.9999884486064645,5.386270729513348e-06,1.0772541459026696e-05
DR:grade4 (PDR),100,INERT,-6.362795829772949e-06,0.00442202091217041,-1.628821094830831e-05,1.1753290891647339e-05,-0.0016759814818700155,"[-4.106573760509278e-06, 3.7511189778645836e-05]","[-6.818150480588278e-05, 8.020612100760142e-05]",0.080964095890522,0.49,0.56,0.51,0.01,0.6473648305249509,0.22059514992060353,0.2941268665608047
